code,category,name,price,currency,rating,rating_count,store_type,url,url_picture
100210856584,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK7604, клюквенно-красный",1832,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-7603-7604-7607/100210856584,https://avatars.mds.yandex.net/get-mpic/1750207/img_id2773023201966704206.jpeg/orig
100210856584,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK7604, клюквенно-красный",1990,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-7603-7604-7607/100210856584,https://avatars.mds.yandex.net/get-mpic/1750207/img_id2773023201966704206.jpeg/orig
100210856598,Электрочайники и термопоты/Oursson,"Чайник Oursson EK1775MD, зеленое яблоко",3590,RUR,0,0,Беру,https://beru.ru/product/chainik-oursson-ek1775md/100210856598,https://avatars.mds.yandex.net/get-mpic/331398/img_id7274253285079103542/orig
100210856619,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK7808, золотистый",2900,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-7804-7805-7808-7809/100210856619,https://avatars.mds.yandex.net/get-mpic/364668/img_id8763267818224914161.jpeg/orig
100210856619,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK7808, золотистый",2357,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-7804-7805-7808-7809/100210856619,https://avatars.mds.yandex.net/get-mpic/364668/img_id8763267818224914161.jpeg/orig
100210856621,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK7901, нержавеющая сталь",2990,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-7901/100210856621,https://avatars.mds.yandex.net/get-mpic/1642819/img_id773936010050590037/orig
100210856621,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK7901, нержавеющая сталь",2800,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-7901/100210856621,https://avatars.mds.yandex.net/get-mpic/1642819/img_id773936010050590037/orig
100210857142,Электрочайники и термопоты/Tefal,"Чайник Tefal KI 230D30 Express II, серебристый",2690,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ki-230d30-express-ii/100210857142,https://avatars.mds.yandex.net/get-mpic/175985/img_id583292162354330185/orig
100210857146,Электрочайники и термопоты/Tefal,"Чайник Tefal KO 371 Safe to touch, бежевый",2690,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ko-371-safe-to-touch/100210857146,https://avatars.mds.yandex.net/get-mpic/199079/img_id3801431248145040343.jpeg/orig
100210857155,Электрочайники и термопоты/Mystery,"Термопот Mystery MTP-2453, серебристый/серый",3300,RUR,0,0,Беру,https://beru.ru/product/termopot-mystery-mtp-2453/100210857155,https://avatars.mds.yandex.net/get-mpic/1911047/img_id9083142410971720939/orig
100210857174,Электрочайники и термопоты/CENTEK,"Чайник CENTEK CT-1068, purple",797,RUR,0,0,Беру,https://beru.ru/product/chainik-centek-ct-1068/100210857174,https://avatars.mds.yandex.net/get-mpic/466729/img_id2601762278812390725/orig
100210857222,Электрочайники и термопоты/Polaris,"Чайник Polaris PWK 1731CC, белый",3790,RUR,0,0,Беру,https://beru.ru/product/chainik-polaris-pwk-1731cc/100210857222,https://avatars.mds.yandex.net/get-mpic/1865652/img_id246993753003100460/orig
100210857222,Электрочайники и термопоты/Polaris,"Чайник Polaris PWK 1731CC, белый",2299,RUR,0,0,Беру,https://beru.ru/product/chainik-polaris-pwk-1731cc/100210857222,https://avatars.mds.yandex.net/get-mpic/1865652/img_id246993753003100460/orig
100210857230,Электрочайники и термопоты/Tefal,"Чайник Tefal KO 150F Delfini Plus, белый",1899,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ko-150f-delfini-plus/100210857230,https://avatars.mds.yandex.net/get-mpic/1543318/img_id1588906146769730813/orig
100210857230,Электрочайники и термопоты/Tefal,"Чайник Tefal KO 150F Delfini Plus, белый",1890,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-ko-150f-delfini-plus/100210857230,https://avatars.mds.yandex.net/get-mpic/1543318/img_id1588906146769730813/orig
100210857232,Электрочайники и термопоты/Sinbo,"Чайник Sinbo SK-7338, черный",990,RUR,3.5,30,Беру,https://beru.ru/product/chainik-sinbo-sk-7338/100210857232,https://avatars.mds.yandex.net/get-mpic/1244413/img_id3396813527245101828.jpeg/orig
100210857232,Электрочайники и термопоты/Sinbo,"Чайник Sinbo SK-7338, черный",1290,RUR,0,0,Беру,https://beru.ru/product/chainik-sinbo-sk-7338/100210857232,https://avatars.mds.yandex.net/get-mpic/1244413/img_id3396813527245101828.jpeg/orig
